id,package,NC,A,I,D
621,org.apache.hadoop.mapreduce.v2.security.client,3,0.0,0.0,1.0
622,org.apache.hadoop.metrics2.annotation,3,0.0,0.9516129032258065,0.048387096774193505
623,org.apache.hadoop.metrics2.source,3,0.0,0.88,0.12
624,org.apache.hadoop.ozone.client.rest.headers,3,0.0,0.8888888888888888,0.11111111111111116
625,org.apache.hadoop.ozone.common.statemachine,3,0.0,1.0,0.0
626,org.apache.hadoop.ozone.container.common.states.datanode,3,0.0,0.0,1.0
627,org.apache.hadoop.ozone.container.common.utils,3,0.0,0.8181818181818182,0.18181818181818177
628,org.apache.hadoop.ozone.container.keyvalue.impl,3,0.0,0.7142857142857143,0.2857142857142857
629,org.apache.hadoop.ozone.container.keyvalue.interfaces,3,0.6666666666666666,0.6666666666666666,0.33333333333333326
630,org.apache.hadoop.ozone.container.placement,3,0.0,0.0,1.0
631,org.apache.hadoop.ozone.om.protocolPB,3,0.3333333333333333,0.75,0.08333333333333326
632,org.apache.hadoop.ozone.web.messages,3,0.0,0.3333333333333333,0.6666666666666667
633,org.apache.hadoop.registry,3,0.0,0.6666666666666666,0.33333333333333337
634,org.apache.hadoop.resourceestimator.common.config,3,0.0,0.8181818181818182,0.18181818181818177
635,org.apache.hadoop.security.authentication.examples,3,0.0,0.0,1.0
636,org.apache.hadoop.tools.protocolPB,3,0.3333333333333333,0.625,0.04166666666666674
637,org.apache.hadoop.tools.rumen.anonymization,3,0.3333333333333333,0.5,0.16666666666666674
638,org.apache.hadoop.tools.rumen.datatypes.util,3,0.3333333333333333,0.25,0.41666666666666674
639,org.apache.hadoop.tools.rumen.state,3,0.3333333333333333,0.8181818181818182,0.1515151515151516
640,org.apache.hadoop.yarn.api.pb,3,0.0,0.5,0.5
641,org.apache.hadoop.yarn.client.api.async,3,0.6666666666666666,0.8125,0.4791666666666665
642,org.apache.hadoop.yarn.client.util,3,0.3333333333333333,0.625,0.04166666666666674
643,org.apache.hadoop.yarn.lib,3,0.0,0.25,0.75
644,org.apache.hadoop.yarn.logaggregation.filecontroller.tfile,3,0.0,0.625,0.375
645,org.apache.hadoop.yarn.server.federation.failover,3,0.0,0.6,0.4
646,org.apache.hadoop.yarn.server.federation.store.metrics,3,0.0,0.5,0.5
647,org.apache.hadoop.yarn.server.nodemanager.api,3,1.0,0.85,0.8500000000000001
648,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.resources.fpga,3,0.0,0.6666666666666666,0.33333333333333337
649,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.resources.gpu,3,0.0,0.4,0.6
650,org.apache.hadoop.yarn.server.nodemanager.containermanager.loghandler,3,0.3333333333333333,0.625,0.04166666666666674
651,org.apache.hadoop.yarn.server.resourcemanager.resourcetracker,3,0.0,0.0,1.0
652,org.apache.hadoop.yarn.server.resourcemanager.rmapp.monitor,3,0.0,0.5714285714285714,0.4285714285714286
653,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.policy,3,0.3333333333333333,0.6666666666666666,0.0
654,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.preemption,3,0.0,0.8125,0.1875
655,org.apache.hadoop.yarn.server.resourcemanager.scheduler.constraint.algorithm.iterators,3,0.0,0.25,0.75
656,org.apache.hadoop.yarn.server.resourcemanager.scheduler.distributed,3,0.0,0.5714285714285714,0.4285714285714286
657,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.allocation,3,0.0,0.4,0.6
658,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fifo,3,0.0,0.8928571428571429,0.1071428571428571
659,org.apache.hadoop.yarn.server.timelineservice,3,0.0,0.5,0.5
660,org.apache.hadoop.yarn.server.timelineservice.metrics,3,0.0,0.5714285714285714,0.4285714285714286
661,org.apache.hadoop.yarn.service.monitor,3,0.0,0.4,0.6
662,org.apache.hadoop.yarn.service.provider.defaultImpl,3,0.0,0.5,0.5
663,org.apache.hadoop.yarn.service.provider.tarball,3,0.0,0.4,0.6
664,org.apache.hadoop.yarn.service.providers,3,0.0,0.0,1.0
665,org.apache.hadoop.yarn.service.webapp,3,0.0,0.25,0.75
666,org.apache.hadoop.yarn.sharedcache,3,0.3333333333333333,0.4,0.2666666666666666
667,org.apache.hadoop.yarn.sls.nodemanager,3,0.0,0.25,0.75
668,org.apache.hadoop.yarn.submarine.common,3,0.0,0.9090909090909091,0.09090909090909094
669,org.apache.hadoop.yarn.submarine.common.fs,3,0.3333333333333333,0.6666666666666666,0.0
670,org.apache.hadoop.yarn.util.constraint,3,0.0,0.6666666666666666,0.33333333333333337
671,org.apache.hadoop.yarn.webapp.dao,3,0.0,0.9285714285714286,0.0714285714285714
